place_type,all_type_count,primary_count,secondary_count,bucket
lounge_bar,211,113,98,other
television_studio,208,159,49,other
convenience_store,205,88,117,grocery
locksmith,205,194,11,other
general_hospital,193,138,55,other
american_restaurant,193,28,165,other
resort_hotel,173,98,75,other
cemetery,172,163,9,other
middle_eastern_restaurant,170,40,130,other
pet_boarding_service,166,109,57,other
bar_and_grill,161,85,76,other
movie_theater,155,138,17,other
academic_department,150,119,31,other
sports_coaching,137,24,113,other
japanese_restaurant,135,48,87,other
chiropractor,132,73,59,other
research_institute,128,84,44,other
buffet_restaurant,127,57,70,other
hamburger_restaurant,125,87,38,other
performing_arts_theater,119,50,69,other
shawarma_restaurant,117,93,24,other
transit_depot,115,112,3,other
coffee_roastery,108,14,94,other
tourist_information_center,107,20,87,other
museum,104,66,38,other
train_ticket_office,103,73,30,other
swimming_pool,102,54,48,other
mexican_restaurant,100,51,49,other
department_store,99,58,41,grocery
movie_rental,98,11,87,other
pub,97,25,72,other
kebab_shop,96,45,51,other
auditorium,96,67,29,other
foot_care,95,41,54,other
dance_hall,93,36,57,other
thai_restaurant,92,17,75,other
extended_stay_hotel,91,13,78,other
live_music_venue,87,8,79,other
cocktail_bar,84,11,73,other
salad_shop,83,45,38,other
indoor_playground,83,57,26,other
sculpture,81,52,29,other
summer_camp_organizer,80,8,72,other
fire_station,80,77,3,other
cafeteria,79,64,15,other
barbecue_restaurant,77,39,38,other
korean_restaurant,75,20,55,other
tanning_studio,75,15,60,other
amusement_center,74,44,30,other
garden_center,71,40,31,other
vegan_restaurant,71,9,62,other
subway_station,70,70,0,other
adventure_sports_center,70,29,41,other
embassy,68,48,20,other
brunch_restaurant,67,17,50,other
train_station,67,67,0,other
truck_dealer,62,32,30,other
hiking_area,62,56,6,other
video_arcade,59,30,29,other
lebanese_restaurant,56,27,29,other
aquarium,55,40,15,other
cultural_landmark,53,52,1,other
campground,52,36,16,other
deli,52,30,22,other
european_restaurant,49,14,35,other
tennis_court,49,39,10,other
funeral_home,49,36,13,other
cultural_center,49,31,18,other
courthouse,47,43,4,other
donut_shop,47,25,22,bakery
coffee_stand,46,0,46,other
airport_shuttle_service,44,5,39,other
chocolate_factory,44,26,18,other
cottage,43,34,9,other
camping_cabin,43,41,2,other
chinese_noodle_restaurant,43,10,33,other
taxi_stand,43,33,10,other
roofing_contractor,42,12,30,other
discount_store,40,21,19,other
airport,39,9,30,other
diner,39,0,39,other
hypermarket,39,26,13,grocery
stadium,35,34,1,other
nature_preserve,34,30,4,other
off_roading_area,33,31,2,other
marina,33,21,12,other
sushi_restaurant,32,5,27,other
bistro,32,10,22,other
chicken_wings_restaurant,31,0,31,other
ramen_restaurant,31,7,24,other
discount_supermarket,31,16,15,grocery
aircraft_rental_service,30,18,12,other
mediterranean_restaurant,29,9,20,other
gastropub,27,20,7,other
farmstay,27,15,12,other
winery,26,24,2,other
hot_dog_restaurant,25,0,25,other
art_museum,23,5,18,other
noodle_shop,23,0,23,other
cantonese_restaurant,23,0,23,other
sports_bar,23,9,14,other
zoo,22,17,5,other
dog_cafe,22,8,14,other
landmark,22,16,6,other
halal_restaurant,22,0,22,other
comedy_club,22,16,6,other
city_hall,22,19,3,other
fusion_restaurant,21,7,14,other
heliport,20,18,2,other
national_park,20,17,3,other
golf_course,19,18,1,other
amusement_park,19,0,19,other
farmers_market,18,11,7,other
synagogue,17,15,2,other
bowling_alley,16,8,8,other
taco_restaurant,16,0,16,other
fish_and_chips_restaurant,16,7,9,other
convention_center,16,5,11,other
wine_bar,16,0,16,other
dim_sum_restaurant,15,0,15,other
brewery,15,9,6,other
public_bath,15,5,10,other
arena,15,13,2,other
hookah_bar,15,7,8,other
warehouse_store,15,5,10,other
afghani_restaurant,14,0,14,other
dumpling_restaurant,14,0,14,other
ferry_service,14,14,0,other
scenic_spot,14,13,1,other
childrens_camp,13,0,13,other
park_and_ride,13,12,1,other
turkish_restaurant,13,7,6,other
persian_restaurant,13,8,5,other
plaza,12,11,1,other
visitor_center,12,8,4,other
concert_hall,12,5,7,other
city_park,12,10,2,other
tibetan_restaurant,11,5,6,other
burmese_restaurant,10,6,4,other
soup_restaurant,10,0,10,other
tex_mex_restaurant,10,0,10,other
race_course,9,0,9,other
asian_fusion_restaurant,9,0,9,other
karaoke,9,0,9,other
fishing_pond,9,9,0,other
water_park,9,6,3,other
western_restaurant,9,0,9,other
vietnamese_restaurant,9,0,9,other
psychic,9,0,9,other
picnic_ground,9,6,3,other
brewpub,9,0,9,other
dog_park,8,0,8,other
indonesian_restaurant,8,0,8,other
flea_market,8,6,2,other
sauna,8,0,8,other
toll_station,8,8,0,other
steak_house,8,0,8,other
burrito_restaurant,8,0,8,other
french_restaurant,8,0,8,other
truck_stop,8,0,8,other
ferry_terminal,7,7,0,other
planetarium,7,6,1,other
thrift_store,6,0,6,other
spanish_restaurant,6,0,6,other
cycling_park,6,0,6,other
malaysian_restaurant,6,0,6,other
go_karting_venue,6,0,6,other
tapas_restaurant,6,0,6,other
shinto_shrine,6,6,0,other
stable,5,0,5,other
international_airport,5,0,5,other
falafel_restaurant,5,0,5,other
rest_stop,5,5,0,other
british_restaurant,5,0,5,other
amphitheatre,5,5,0,other
